Source,Target,Weight,Type
Tambov,Arsenal Tula,3,Directed
Tambov,Sochi,3,Directed
Torino FC,AC Milan,3,Directed
Torino FC,SPAL,3,Directed
Tottenham Hotspur,Atalanta BC,3,Directed
Trabzonspor,Altinordu,3,Directed
Trabzonspor,Bursaspor,3,Directed
US Cremonese,Genoa,3,Directed
US Lecce,Genoa,3,Directed
US Lecce,Palermo,3,Directed
US Sassuolo,Grêmio,3,Directed
US Sassuolo,Inter Milan,3,Directed
Ufa,Rostov,3,Directed
Ural Yekaterinburg,CSKA Moscow,3,Directed
Ural Yekaterinburg,Krasnodar,3,Directed
Ural Yekaterinburg,Spartak Moscow,3,Directed
Villarreal CF,Watford,3,Directed
Vitória SC,FC Porto,3,Directed
Volos FC,AEK Athens,3,Directed
Volos FC,Panathinaikos,3,Directed
Werder Bremen,TSG 1899 Hoffenheim,3,Directed
West Bromwich Albion,West Ham United,3,Directed
West Ham United,Paris Saint-Germain,3,Directed
West Ham United,Slavia Prague,3,Directed
Wigan Athletic,Brighton & Hove Albion,3,Directed
Willem II Tilburg,FC Twente,3,Directed
Willem II Tilburg,Feyenoord Rotterdam,3,Directed
Willem II Tilburg,NEC Nijmegen,3,Directed
Wolverhampton Wanderers,GD Estoril Praia,3,Directed
Zenit Saint Petersburg,Corinthians,3,Directed
1. FC Köln,1.FSV Mainz 05,2,Directed
1. FC Köln,Borussia Dortmund,2,Directed
1. FC Köln,Hertha BSC,2,Directed
1. FC Köln,RB Leipzig,2,Directed
1. FC Köln,Schalke 04,2,Directed
1. FC Union Berlin,1.FC Heidenheim,2,Directed
1. FC Union Berlin,1.FC Magdeburg,2,Directed
1. FC Union Berlin,1.FSV Mainz 05,2,Directed
1. FC Union Berlin,Bayer 04 Leverkusen,2,Directed
1. FC Union Berlin,Hannover 96,2,Directed
1. FC Union Berlin,Schalke 04,2,Directed
1. FC Union Berlin,Yokohama F. M.,2,Directed
1.FSV Mainz 05,1. FC Union Berlin,2,Directed
1.FSV Mainz 05,Heracles Almelo,2,Directed
1.FSV Mainz 05,RC Strasbourg Alsace,2,Directed
AC Fiorentina,Inter Milan,2,Directed
AC Fiorentina,Real Madrid,2,Directed
AC Fiorentina,SPAL,2,Directed
AC Fiorentina,SS Lazio,2,Directed
AC Milan,AS Roma,2,Directed
AC Milan,Brescia,2,Directed
AC Milan,Eintracht Frankfurt,2,Directed
AC Milan,Empoli FC,2,Directed
AC Milan,FC Crotone,2,Directed
AC Milan,LOSC Lille,2,Directed
AC Milan,Monaco,2,Directed
AC Milan,RSC Anderlecht,2,Directed
AC Milan,Sevilla FC,2,Directed
AC Monza,Cagliari,2,Directed
AC Monza,Juventus,2,Directed
ADO Den Haag,FC Utrecht,2,Directed
ADO Den Haag,Leeds United,2,Directed
ADO Den Haag,SS Lazio,2,Directed
ADO Den Haag,Sheffield United,2,Directed
AE Kifisia,Ionikos Nikeas,2,Directed
AE Larisa,PAOK,2,Directed
AE Larisa,PAS Giannina,2,Directed
